Name,Environmental fate,Ecotoxicity,Human health,SMILES
Methiocarb (Ref: OMS 93),Moderate,High,High,CC1=CC(=CC(=C1SC)C)OC(=O)NC
Methomyl (Ref: OMS 1196),High,High,High,CC(=NOC(=O)NC)SC
Methoprene (Ref: OMS 1697),Moderate,High,Low,CC(C)OC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC
Methoxychlor (Ref: OMS 466),High,High,High,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl
Methoxyfenozide (Ref: RH 2485),High,Moderate,Moderate,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C
Bromomethane,High,High,High,CBr
Metiram (Ref: BAS 222F),Moderate,High,Moderate,C(CNC(=S)[S-])NC(=S)S.C(CNC(=S)[S-])NC(=S)S.[NH2-].[Zn]
Metobromuron (Ref: C 3216),Moderate,Moderate,High,CN(C(=O)NC1=CC=C(C=C1)Br)OC
Metolachlor (Ref: CGA 24705),Moderate,Moderate,High,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C
Metosulam (Ref: XDE 511),High,Moderate,Moderate,CC1=C(C(=C(C=C1)Cl)NS(=O)(=O)C2=NN3C(=CC(=NC3=N2)OC)OC)Cl
Metoxuron (Ref: SAN 6915H),Moderate,Moderate,High,CN(C)C(=O)NC1=CC(=C(C=C1)OC)Cl
Metrafenone (Ref: BAS 560F),High,Moderate,Moderate,CC1=CC(=C(C(=C1C(=O)C2=C(C=CC(=C2C)Br)OC)OC)OC)OC
Metribuzin (Ref: DPX G2504),High,Moderate,High,CC(C)(C)C1=NN=C(N(C1=O)N)SC
Metsulfuron-methyl (Ref: DPX T6376),High,Moderate,Moderate,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
Mevinphos (Ref: ENT 22374),High,High,High,CC(=CC(=O)OC)OP(=O)(OC)OC
Molinate (Ref: OMS 1373),Moderate,Moderate,High,CCSC(=O)N1CCCCCC1
Monolinuron (Ref: HOE 002747),High,Moderate,Low,CN(C(=O)NC1=CC=C(C=C1)Cl)OC
Monuron,High,Low,Moderate,CN(C)C(=O)NC1=CC=C(C=C1)Cl
Myclobutanil (Ref: RH 3866),Moderate,Moderate,High,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl
Naled (Ref: OMS 75),Moderate,High,High,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br
Napropamide (Ref: R 7465),Moderate,Moderate,Moderate,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21
Naptalam (Ref: ACP 322),High,Moderate,Moderate,C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC=CC=C3C(=O)O
Neburon,High,Moderate,Low,CCCCN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
Nicosulfuron (Ref: DPX V9360),High,Moderate,Moderate,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Norflurazon (Ref: H 52143),High,Moderate,Moderate,CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl
Novaluron (Ref: GR 572),High,High,Low,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F
Nuarimol (Ref: EL 228),High,Moderate,Moderate,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)F)(C3=CN=CN=C3)O)Cl
Octhilinone (Ref: RH 893),High,High,Moderate,CCCCCCCCN1C(=O)C=CS1
Ofurace (Ref: AE F057623),High,Moderate,Low,CC1=C(C(=CC=C1)C)N(C2CCOC2=O)C(=O)CCl
Omethoate (Ref: ENT 25776),High,High,High,CNC(=O)CSP(=O)(OC)OC
Oryzalin (Ref: EL 119),Moderate,Moderate,High,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-]
Oxadiargyl (Ref: RP 020630 ),Moderate,Moderate,Moderate,CC(C)(C)C1=NN(C(=O)O1)C2=CC(=C(C=C2Cl)Cl)OCC#C
Oxadiazon (Ref: RP 17623 ),High,High,High,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl
Oxadixyl (Ref: SAN 371F),High,Moderate,Moderate,CC1=C(C(=CC=C1)C)N(C(=O)COC)N2CCOC2=O
Oxamyl (Ref: DPX D1410),High,High,High,CNC(=O)ON=C(C(=O)N(C)C)SC
Oxasulfuron (Ref: CGA 277476 ),Moderate,Moderate,High,CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC3COC3)C
Oxycarboxin (Ref: F 461),High,Moderate,Moderate,CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2
Oxydemeton-methyl (Ref: ENT 24964),High,High,High,CCS(=O)CCSP(=O)(OC)OC
Oxyfluorfen (Ref: RH 2915),High,High,Moderate,CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-]
Paclobutrazol (Ref: PP 333),Moderate,Moderate,Moderate,CC(C)(C)C(C(CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
Paraquat (Ref: PP 148),High,High,High,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C
Parathion-ethyl (Ref: OMS 19),Low,High,High,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
Parathion-methyl (Ref: OMS 213),Moderate,High,High,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]
Pebulate (Ref: R 2061),Moderate,Moderate,High,CCCCN(CC)C(=O)SCCC
Penconazole (Ref: CGA 71818),High,Moderate,High,CCCC(CN1C=NC=N1)C2=C(C=C(C=C2)Cl)Cl
Pencycuron (Ref: NTN 19701),Moderate,Moderate,Moderate,C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3
Pendimethalin (Ref: AC 92553),High,High,High,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-]
Penoxsulam (Ref: XDE 638),High,Moderate,Moderate,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC
Pentachlorophenol,High,Moderate,High,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
Pentanochlor (Ref: FMC 4512),High,Moderate,Moderate,CCCC(C)C(=O)NC1=CC(=C(C=C1)C)Cl
Permethrin (Ref: OMS 1821),High,High,High,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
Phenmedipham (Ref: SN 38584),Moderate,Moderate,Moderate,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC
Phenothrin (Ref: OMS 1809),Moderate,High,High,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C
Phenthoate (Ref: OMS 1075),Moderate,High,High,CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC
Phorate (Ref: ENT 24042),High,High,High,CCOP(=S)(OCC)SCSCC
Phosalone (Ref: ENT 27163),Moderate,High,High,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O
Phosmet (Ref: OMS 232),Moderate,High,High,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O
Phosphamidon (Ref: OMS 1325),High,High,High,CCN(CC)C(=O)C(=C(C)OP(=O)(OC)OC)Cl
Aluminium phosphide,Low,High,High,[Al]#P
Phoxim (Ref: OMS 1170),Moderate,High,High,CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1
Picloram (Ref: X 159868),High,Moderate,High,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N
Picolinafen (Ref: BAS 700H),Moderate,High,Moderate,C1=CC(=CC(=C1)OC2=CC=CC(=N2)C(=O)NC3=CC=C(C=C3)F)C(F)(F)F
Picoxystrobin (Ref: ZA 1963),Moderate,High,Moderate,COC=C(C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)C(=O)OC
Pinoxaden (Ref: NOA 407855),Moderate,Moderate,High,CCC1=CC(=CC(=C1C2=C(N3CCOCCN3C2=O)OC(=O)C(C)(C)C)CC)C
Piperonyl butoxide (Ref: ENT 14250),Moderate,Moderate,High,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2
Pirimicarb (Ref: OMS 1330),Moderate,High,High,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C
Pirimiphos-ethyl (Ref: PP211),Moderate,High,High,CCN(CC)C1=NC(=CC(=N1)OP(=S)(OCC)OCC)C
Pirimiphos-methyl (Ref: OMS 1424),Moderate,High,High,CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C
Pretilachlor (Ref: CGA 26423),Moderate,Moderate,Low,CCCOCCN(C1=C(C=CC=C1CC)CC)C(=O)CCl
Primisulfuron,High,Moderate,Low,C1=CC=C(C(=C1)C(=O)O)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC(F)F)OC(F)F
Prochloraz (Ref: BTS 40542),High,Moderate,High,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2
Procymidone (Ref: S 7131),High,Moderate,High,CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C
Profenofos (Ref: OMS 2004),Moderate,High,High,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl
Prohexadione-calcium (Ref: BAS 125W),Moderate,Moderate,High,CCC(=C1C(=O)CC(CC1=O)C(=O)[O-])[O-].[Ca+2]
Promecarb (Ref: SN 34615),Moderate,High,High,CC1=CC(=CC(=C1)OC(=O)NC)C(C)C
Prometon (Ref: G 31435),High,Moderate,Moderate,CC(C)NC1=NC(=NC(=N1)OC)NC(C)C
Prometryn (Ref: C 34161),High,Moderate,High,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C
Propachlor (Ref: CP 31393),Moderate,High,High,CC(C)N(C1=CC=CC=C1)C(=O)CCl
Propamocarb hydrochloride (Ref: SN 66752),Moderate,Moderate,High,CCCOC(=O)NCCCN(C)C.Cl
Propanil (Ref: FW 734),Moderate,High,High,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl
Propaquizafop (Ref: CGA 233380),Moderate,Moderate,Moderate,CC(C(=O)OCCON=C(C)C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl
Propargite (Ref: ENT 27226),Moderate,High,High,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C
Propazine (Ref: G 30028),High,Moderate,High,CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C
Propetamphos (Ref: OMS 1502),Moderate,High,High,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
Propham,Moderate,Moderate,Moderate,CC(C)OC(=O)NC1=CC=CC=C1
Propiconazole (Ref: CGA 64250),Moderate,Moderate,High,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
Propineb (Ref: BAY 46131),Low,Moderate,Moderate,CC(CNC(=S)[S-])NC(=S)[S-].[Zn+2]
Propoxur (Ref: OMS 33),High,High,High,CC(C)OC1=CC=CC=C1OC(=O)NC
Propoxycarbazone-sodium (Ref: MKH 6561),High,Moderate,Low,CCCOC1=NN(C(=O)N1C)C(=NS(=O)(=O)C2=CC=CC=C2C(=O)OC)[O-].[Na+]
Proquinazid (Ref: DPX KQ926),Moderate,High,High,CCCN1C(=O)C2=C(C=CC(=C2)I)N=C1OCCC
Propyzamide (Ref: RH 315),High,Moderate,Moderate,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl
Prosulfocarb (Ref: SC 0574),Moderate,Moderate,Moderate,CCCN(CCC)C(=O)SCC1=CC=CC=C1
Prosulfuron (Ref: CGA 152005),High,High,Moderate,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F
Prothioconazole (Ref: JAU 6476 ),Moderate,Moderate,High,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C(=S)N=CN3)O)Cl
Prothiofos (Ref: OMS 2006),High,High,High,CCCSP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl
Prothoate (Ref: EI 18682),Moderate,High,High,CCOP(=S)(OCC)SCC(=O)NC(C)C
Pymetrozine (Ref: CGA 215944),Moderate,Moderate,High,CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2
Pyraclofos (Ref: OMS 3040),High,High,High,CCCSP(=O)(OCC)OC1=CN(N=C1)C2=CC=C(C=C2)Cl
Pyraclostrobin (Ref: BAS 500F),Moderate,High,High,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC
Pyraflufen-ethyl (Ref: ET 751),Moderate,High,High,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl
Pyrazophos (Ref: HOE 2873),Moderate,High,High,CCOC(=O)C1=CN2C(=CC(=N2)OP(=S)(OCC)OCC)N=C1C
Pyrazoxyfen (Ref: SL 49),Moderate,Moderate,Moderate,CC1=NN(C(=C1C(=O)C2=C(C=C(C=C2)Cl)Cl)OCC(=O)C3=CC=CC=C3)C
Pyridaben (Ref: BAS 300l),Moderate,High,Moderate,CC(C)(C)C1=CC=C(C=C1)CSC2=C(C(=O)N(N=C2)C(C)(C)C)Cl
Pyridafenthion (Ref: ENT 23968)),Moderate,High,High,CCOP(=S)(OCC)OC1=NN(C(=O)C=C1)C2=CC=CC=C2
Pyridate (Ref: CL 11344),Moderate,Moderate,High,CCCCCCCCSC(=O)OC1=CC(=NN=C1C2=CC=CC=C2)Cl
Pyrifenox (Ref: CGA 179945),Moderate,Moderate,High,CON=C(CC1=CN=CC=C1)C2=C(C=C(C=C2)Cl)Cl
Pyrimethanil (Ref: SN 100309),Moderate,Moderate,Moderate,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C
Pyriproxyfen (Ref: S 9318),Moderate,High,Moderate,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3
Quinalphos (Ref: ENT 27397),Moderate,High,High,CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1
Quinclorac (Ref: BAS 514H),High,Moderate,Moderate,C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl
Quinmerac (Ref: BAS 518H),Moderate,Moderate,Moderate,CC1=CN=C2C(=C1)C=CC(=C2C(=O)O)Cl
Quinoclamine,Moderate,High,Moderate,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)N
Quinoxyfen (Ref: DE 795),High,High,Moderate,C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F
Quintozene,High,Moderate,Moderate,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-]
Quizalofop-ethyl (Ref: DPX Y6202),High,Moderate,High,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl
Quizalofop-P-ethyl (Ref: DPX 79376),Moderate,Moderate,Moderate,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl
Quizalofop-P-tefuryl (Ref: UBI C4874 ),Moderate,Moderate,High,CC(C(=O)OCC1CCCO1)OC2=CC=C(C=C2)OC3=CN=C4C=C(C=CC4=N3)Cl
Resmethrin (Ref: OMS 1206),Moderate,High,High,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C
Rimsulfuron (Ref: DPX E9636),High,Moderate,Moderate,CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Sethoxydim (Ref: BAS 9052H),Moderate,Moderate,Low,CCCC(=C1C(=O)CC(CC1=O)CC(C)SCC)NOCC
Siduron,Moderate,Moderate,Low,CC1CCCCC1NC(=O)NC2=CC=CC=C2
Silthiofam (Ref: MON 65500),High,Moderate,Moderate,CC1=C(SC(=C1C(=O)NCC=C)[Si](C)(C)C)C
Simazine (Ref: G 27692),Moderate,Moderate,High,CCNC1=NC(=NC(=N1)Cl)NCC
Sintofen (Ref: SC 2053),High,Moderate,Moderate,CC1=CC=C(C=C1)N2C3=C(C(=CC=C3)OCCOC)C(=O)C(=N2)C(=O)O
Sodium carbonate,Low,Low,Low,C(=O)([O-])[O-].[Na+].[Na+]
Sodium chloride,High,Low,Moderate,[Na+].[Cl-]
Spirodiclofen (Ref: BAJ 2740),Moderate,High,High,CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)C3=C(C=C(C=C3)Cl)Cl
Spiromesifen (Ref: BSN 2060),Moderate,High,Moderate,CC1=CC(=C(C(=C1)C)C2=C(C3(CCCC3)OC2=O)OC(=O)CC(C)(C)C)C
Spiroxamine (Ref: KWG 4168),High,High,Moderate,CCCN(CC)CC1COC2(O1)CCC(CC2)C(C)(C)C
Sulcotrione (Ref: SC 0051),High,Moderate,Moderate,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl
Sulfentrazone (Ref: FMC 97285),High,Moderate,Moderate,CC1=NN(C(=O)N1C(F)F)C2=CC(=C(C=C2Cl)Cl)NS(=O)(=O)C
Sulfluramid (Ref: GX 071),Low,Moderate,Low,CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
Sulfosulfuron (Ref: MON 37500),High,Moderate,Moderate,CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC
Sulfotep (Ref: ENT 16273),Moderate,High,High,CCOP(=S)(OCC)OP(=S)(OCC)OCC
Sulphur (Ref: SAN 7116),Moderate,High,Low,S
Sulprofos (Ref: NTN 9306),High,High,High,CCCSP(=S)(OCC)OC1=CC=C(C=C1)SC
Tau-fluvalinate (Ref: SAN 527l),Moderate,High,High,CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl
TCA-sodium,High,Low,Low,C(=O)(C(Cl)(Cl)Cl)[O-].[Na+]
Tebuconazole (Ref: HWG 1608),Moderate,High,High,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
Tebufenozide (Ref: RH 5992 2F ),Moderate,Moderate,Low,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C
Tebufenpyrad (Ref: AC 801757),Moderate,High,Moderate,CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)C(C)(C)C)C
Tebutam (Ref: GPC-5544),High,Moderate,Low,CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C
Tebuthiuron (Ref: EL 103),High,Moderate,Moderate,CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC
Tecnazene,Moderate,Moderate,Moderate,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl
Teflubenzuron (Ref: CME 13406),Moderate,High,Low,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2F)Cl)F)Cl)F
Tefluthrin (Ref: R 151993),Moderate,High,High,CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F
Temephos (Ref: OMS 786),Moderate,High,High,COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC
Tepraloxydim (Ref: BAS 620H),High,Moderate,High,CCC(=C1C(=O)CC(CC1=O)C2CCOCC2)NOCC=CCl
Terbacil (Ref: DPX D732),High,Moderate,Moderate,CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl
Terbufos (Ref: AC 92100),Moderate,High,High,CCOP(=S)(OCC)SCSC(C)(C)C
Terbumeton (Ref: GS 14259),High,Moderate,Moderate,CCNC1=NC(=NC(=N1)OC)NC(C)(C)C
Terbuthylazine,Moderate,Moderate,High,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
Terbutryn (Ref: GS 14260),Moderate,High,High,CCNC1=NC(=NC(=N1)SC)NC(C)(C)C
Tetrachlorvinphos (Ref: SD 8447),Moderate,High,High,COP(=O)(OC)OC(=CCl)C1=CC(=C(C=C1Cl)Cl)Cl
Tetraconazole (Ref: M 14360),High,Moderate,Moderate,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F
Tetradifon (Ref: ENT 23737),High,Moderate,Low,C1=CC(=CC=C1S(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl)Cl
Tetramethrin (Ref: ENT 27339),Moderate,High,High,CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C
Thiabendazole (Ref: MK 360),High,Moderate,Moderate,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
Thiacloprid (Ref: YRC 2894),Moderate,High,High,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl
Thiamethoxam (Ref: CGA 293343),High,High,Moderate,CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl
Thiazafluron,High,Low,Moderate,CNC(=O)N(C)C1=NN=C(S1)C(F)(F)F
Thiazopyr (Ref: MON 13200),High,Moderate,High,CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2
Thidiazuron (Ref: SN 49537),Moderate,Moderate,Moderate,C1=CC=C(C=C1)NC(=O)NC2=CN=NS2
Thifensulfuron-methyl (Ref: DPX M6316),High,Moderate,High,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC
Thiobencarb (Ref: IMC 3950),Moderate,Moderate,High,CCN(CC)C(=O)SCC1=CC=C(C=C1)Cl
Thiodicarb (Ref: OMS 3026),Moderate,High,High,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC
Thiofanox (Ref: DS 15647),High,High,High,CC(C)(C)C(=NOC(=O)NC)CSC
Thiometon (Ref: SAN 230),Moderate,High,High,CCSCCSP(=S)(OC)OC
Thiophanate-methyl (Ref: NF 44),Moderate,High,High,COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC
Thiourea,High,Moderate,High,C(=S)(N)N
Thiram (Ref: ENT 987),Moderate,High,High,CN(C)C(=S)SSC(=S)N(C)C
Tiocarbazil (Ref: M 3432),Moderate,Moderate,Low,CCC(C)N(C(C)CC)C(=O)SCC1=CC=CC=C1
Tolclofos-methyl (Ref: S 3349 ),Moderate,Moderate,High,CC1=CC(=C(C(=C1)Cl)OP(=S)(OC)OC)Cl
Tolylfluanid (Ref: BAY 49854),Low,High,Moderate,CC1=CC=C(C=C1)N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C
Tralkoxydim (Ref: PP 604),Moderate,Moderate,Moderate,CCC(=C1C(=O)CC(CC1=O)C2=C(C=C(C=C2C)C)C)NOCC
Tralomethrin (Ref: OMS 3048),Moderate,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C(C(Br)(Br)Br)Br)C
Triadimefon,Moderate,Moderate,High,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
Triadimenol (Ref: BAY KWG 0519),Moderate,High,High,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O
Tri-allate (Ref: CP 23426),High,High,High,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl
Triasulfuron (Ref: CGA 131036 ),High,Moderate,Moderate,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl
Triazamate (Ref: RH 7988),Moderate,High,High,CCOC(=O)CSC1=NC(=NN1C(=O)N(C)C)C(C)(C)C
Triazophos (Ref: HOE 002960 ),Moderate,High,High,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2
Triazoxide (Ref: SAS 9244),High,High,High,C1=CC2=C(C=C1Cl)[N+](=NC(=N2)N3C=CN=C3)[O-]
Tribenuron-methyl (Ref: DPX L5300),High,Moderate,High,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
Tribufos,Moderate,High,High,CCCCSP(=O)(SCCCC)SCCCC
Trichlorfon (Ref: OMS 800),High,High,High,COP(=O)(C(C(Cl)(Cl)Cl)O)OC
Trichloronate (Ref: BAY 37289),High,High,High,CCOP(=S)(CC)OC1=CC(=C(C=C1Cl)Cl)Cl
Triclopyr,High,Moderate,High,C1=C(C(=NC(=C1Cl)Cl)OCC(=O)O)Cl
Tricyclazole (Ref: EL 291),High,Moderate,Moderate,CC1=C2C(=CC=C1)SC3=NN=CN23
Tridemorph (Ref: BAS 2205-F),Moderate,Moderate,High,CCCCCCCCCCCCCN1CC(OC(C1)C)C
Tridiphane,Moderate,Moderate,High,C1C(O1)(CC(Cl)(Cl)Cl)C2=CC(=CC(=C2)Cl)Cl
Trietazine (Ref: G 27901),Moderate,Moderate,Moderate,CCNC1=NC(=NC(=N1)Cl)N(CC)CC
Trifloxystrobin (Ref: CGA 279202),Moderate,High,High,CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)OC)C2=CC(=CC=C2)C(F)(F)F
Triflumizole (Ref: NF 114 ),Moderate,Moderate,High,CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2
Triflumuron (Ref: OMS 2015),Moderate,High,Moderate,C1=CC=C(C(=C1)C(=O)NC(=O)NC2=CC=C(C=C2)OC(F)(F)F)Cl
Trifluralin (Ref: EL 152),High,High,High,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
Triflusulfuron-methyl (Ref: DPX 66037),High,Moderate,Moderate,CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)OC
Triforine (Ref: AC 902194),Moderate,Moderate,High,C1CN(CCN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O
Trimethacarb (Ref: OMS 597),Moderate,Moderate,High,CC1=CC(=CC(=C1C)C)OC(=O)NC
Trinexapac-ethyl (Ref: CGA 163935),Moderate,Moderate,Low,CCOC(=O)C1CC(=O)C(=C(C2CC2)O)C(=O)C1
Triticonazole (Ref: RPA 400727),High,Moderate,Moderate,CC1(CCC(=CC2=CC=C(C=C2)Cl)C1(CN3C=NC=N3)O)C
Tritosulfuron,High,Moderate,Moderate,COC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(F)(F)F)C(F)(F)F
Uniconazole (Ref: XE 1019),High,Moderate,Moderate,CC(C)(C)C(C(=CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
Vamidothion (Ref: ENT 26613),High,High,High,CC(C(=O)NC)SCCSP(=O)(OC)OC
Vernolate (Ref: R-106),Moderate,Moderate,High,CCCN(CCC)C(=O)SCCC
Vinclozolin (Ref: BAS 352F),Moderate,Moderate,High,CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C
Warfarin,Moderate,Moderate,High,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
